Service Incident Summary,Keywords for n=1,Keywords for n=2,Keywords for n=3,Part Number,Part Description,Service Line Type
"Replaced control board error e105 supply voltage error also replaced screen surround and bracket as broken updated firmware to 2.24.6b
Replaced control board again as new one faulty","2246b, board, bracket, break, control, e105, error, faulty, firmware, new, replace, screen, supply, surround, update, voltage","2246b replace, board error, board new, bracket break, break update, control board, e105 supply, error e105, error replace, firmware 2246b, new faulty, replace control, replace screen, screen surround, supply voltage, surround bracket, update firmware, voltage error","2246b replace control, board error e105, board new faulty, bracket break update, break update firmware, control board error, control board new, e105 supply voltage, error e105 supply, error replace screen, firmware 2246b replace, replace control board, replace screen surround, screen surround bracket, supply voltage error, surround bracket break, update firmware 2246b, voltage error replace",P30Z5048,CONTROL IO ASSY,Parts
"Replaced control board error e105 supply voltage error also replaced screen surround and bracket as broken updated firmware to 2.24.6b
Replaced control board again as new one faulty","2246b, board, bracket, break, control, e105, error, faulty, firmware, new, replace, screen, supply, surround, update, voltage","2246b replace, board error, board new, bracket break, break update, control board, e105 supply, error e105, error replace, firmware 2246b, new faulty, replace control, replace screen, screen surround, supply voltage, surround bracket, update firmware, voltage error","2246b replace control, board error e105, board new faulty, bracket break update, break update firmware, control board error, control board new, e105 supply voltage, error e105 supply, error replace screen, firmware 2246b replace, replace control board, replace screen surround, screen surround bracket, supply voltage error, surround bracket break, update firmware 2246b, voltage error replace",PDY0079,X12 GLASS OVERLAY,Parts
Replaced glass overlay assembly. Tested ok,"assembly, glass, ok, overlay, replace, test","assembly test, glass overlay, overlay assembly, replace glass, test ok","assembly test ok, glass overlay assembly, overlay assembly test, replace glass overlay",PDY0079,X12 GLASS OVERLAY,Parts
WITHIN RESPONSE  E111 AND E102  REPLACED CAVITY SENSOR UPDATED FIRMWARE TO V2.24.6b  RECOMMISSIONED AND RUN UPTO TEMP ALL OK,"update, v2246b",update v2246b,,DR0243,THERMOCOUPLE K-700,Parts
"Fault on oven was high voltage and high frequency, found that the 101 chips on IO board were burnt out. Replaced board with new version with 1000 chips. All tests on oven completed and no faults to report. 
Oven on old software and firmware so also updated the oven while on site.","1000, board, burn, chip, complete, e101, fault, firmware, frequency, high, new, old, oven, report, site, software, test, update, version, voltage","1000 chip, board burn, board new, burn board, chip board, chip test, complete fault, e101 chip, fault oven, fault report, firmware update, frequency e101, high frequency, high voltage, new version, old software, oven complete, oven high, oven site, report old, software firmware, test oven, update oven, version 1000, voltage high","1000 chip test, board burn board, board new version, burn board new, chip board burn, chip test oven, complete fault report, e101 chip board, fault oven high, fault report old, firmware update oven, frequency e101 chip, high frequency e101, high voltage high, new version 1000, old software firmware, oven complete fault, oven high voltage, report old software, software firmware update, test oven complete, update oven site, version 1000 chip, voltage high frequency",P30Z5048,CONTROL IO ASSY,Parts
"Burning smell coming from transformer, is using 14.5A on testing. Replaced with new, mag working fine at 7.4A. Recommission passed no issues","burn, come, fine, issue, mag, new, pass, replace, smell, testing, transformer, use, working","burn smell, come transformer, fine pass, mag working, new mag, pass issue, replace new, smell come, testing replace, transformer use, use testing, working fine","burn smell come, come transformer use, fine pass issue, mag working fine, new mag working, replace new mag, smell come transformer, testing replace new, transformer use testing, use testing replace, working fine pass",P30Z1540,MV HT TRANSFORMER 50HZ,Parts
"Replaced IO board with upgraded version. Unit working fine, recommission passed","board, fine, pass, recommission, upgrade, version, work","board upgrade, fine recommission, recommission pass, upgrade version, version work, work fine","board upgrade version, fine recommission pass, upgrade version work, version work fine, work fine recommission",P30Z5048,CONTROL IO ASSY,Parts
Found io board had burnt out 101 chips. Replaced io board with new version board. Also updated the machine and the 2 other oven on site with the latest firmware/software.,"board, burn, chip, e101, firmwaresoftware, io, late, machine, new, oven, site, update, version","board burn, board new, board update, burn e101, chip io, e101 chip, io board, late firmwaresoftware, machine oven, new version, oven site, site late, update machine, version board","board burn e101, board new version, board update machine, burn e101 chip, chip io board, e101 chip io, io board burn, io board new, machine oven site, new version board, oven site late, site late firmwaresoftware, update machine oven, version board update",P30Z5048,CONTROL IO ASSY,Parts
"Replaced io board due to frequency error 105
Updated firmware and tested ok","board, e105, error, firmware, frequency, io, ok, replace, test, update","board frequency, e105 update, error e105, firmware test, frequency error, io board, replace io, test ok, update firmware","board frequency error, e105 update firmware, error e105 update, firmware test ok, frequency error e105, io board frequency, replace io board, update firmware test",P30Z5048,CONTROL IO ASSY,Parts
Replaced intermittent air filter micro switch  updated unit to latest firmware ran commission test,"air, commission, filter, firmware, intermittent, late, micro, replace, run, switch, test, unit, update","air filter, commission test, filter micro, firmware run, intermittent air, late firmware, micro switch, replace intermittent, run commission, switch update, unit late, update unit","air filter micro, filter micro switch, firmware run commission, intermittent air filter, late firmware run, micro switch update, replace intermittent air, run commission test, switch update unit, unit late firmware, update unit late",30Z1626,AIR FILTER LONG M/SWITCH,Parts
Staff say intermittently turning itself off. So power button shows and they turn it back on.No errors. Oven working ok. Have replaced UI board as suspect faulty. Tested ok,"board, button, error, faulty, intermittently, ok, onno, power, replace, say, staff, suspect, test, turn, work","board suspect, button turn, error work, faulty test, intermittently turn, ok replace, onno error, power button, replace board, say intermittently, staff say, suspect faulty, test ok, turn onno, turn power, work ok","board suspect faulty, button turn onno, error work ok, faulty test ok, intermittently turn power, ok replace board, onno error work, power button turn, replace board suspect, say intermittently turn, staff say intermittently, suspect faulty test, turn onno error, turn power button, work ok replace",P30Z5049,MERRYCHEF CONTROLLER UI,Parts
Replaced IO board and updated to 2.24,"224, board, update","board update, update 224",board update 224,P30Z5048,CONTROL IO ASSY,Parts
"Oven still with faults, so replaced IO board and thermostat on oven. Run to temperature and tested ok. Couldn’t get faults to reappear while on site. Left work without faults.","board, fault, ok, oven, reappear, replace, site, temperature, test, thermostat, work","board thermostat, fault reappear, fault replace, ok fault, oven temperature, reappear site, replace board, site work, temperature test, test ok, thermostat oven, work fault","board thermostat oven, fault reappear site, fault replace board, ok fault reappear, oven temperature test, reappear site work, replace board thermostat, site work fault, temperature test ok, test ok fault, thermostat oven temperature",P30Z5048,CONTROL IO ASSY,Parts
"Oven still with faults, so replaced IO board and thermostat on oven. Run to temperature and tested ok. Couldn’t get faults to reappear while on site. Left work without faults.","board, fault, ok, oven, reappear, replace, site, temperature, test, thermostat, work","board thermostat, fault reappear, fault replace, ok fault, oven temperature, reappear site, replace board, site work, temperature test, test ok, thermostat oven, work fault","board thermostat oven, fault reappear site, fault replace board, ok fault reappear, oven temperature test, reappear site work, replace board thermostat, site work fault, temperature test ok, test ok fault, thermostat oven temperature",DR0243,THERMOCOUPLE K-700,Parts
Replaced damaged mains cable and updated firmware from v2.02 to v2.246b tested ok,"cable, damaged, firmware, main, ok, replace, test, update, v202, v2246b","cable update, damaged main, firmware v202, main cable, replace damaged, test ok, update firmware, v202 v2246b, v2246b test","cable update firmware, damaged main cable, firmware v202 v2246b, main cable update, replace damaged main, update firmware v202, v202 v2246b test, v2246b test ok",SR280,MAINS SUPPLY LEAD XA 13A,Parts
